QC-1,QC-2,QC-3,QC-4,QC-5,QC-6,QC-7,QC-8
1735159,1535974,1278810,1251969,1319016,1219600,1259436,1110970
19677546,19888053,18982256,18533414,19912893,18604311,20272624,16654431
37601730,19177693,4901567,2660657,15462659,2295540,14401802,2083143
11717443,11058531,11480609,11710540,10797271,11709431,11259339,11063884
145161,141730,176775,120032,128996,127775,118532,164368
170741,153962,130878,122493,142717,150638,162634,139655
2281865,2068802,2239245,2144559,2462261,2146264,2266667,1850185
656660,736949,606802,787172,756919,645308,832488,636723
162103375,163593094,190285108,175280924,178537815,167651294,167305060,171308903
1457980,1341766,1359641,1130283,1304841,1248872,1292814,1258451
11233726,11178813,11404121,11197263,11843231,11348617,11180981,11655939
367862,408622,396398,320599,431244,308178,420095,274611
431636,454580,476604,494624,451729,448908,420910,444983
484544,463761,479072,376125,436470,378852,527993,464193
361560,343060,338611,318322,316949,332780,350320,339389
9182873,10046612,10578920,10837659,10675512,10568264,10947019,11184211
496018,768033,1018829,789050,649126,703283,1208946,766583
772853710,773192158,800376641,772982528,767785771,784921587,793563856,814189897
20913508,22131626,17085211,16022205,18659833,18686090,15140975,19351599
30361408,27732583,27308270,26815748,26067152,27262130,26314845,27317923
237082,214073,219260,259969,296535,370243,334401,201167
96114018,100294932,98488192,98072219,102883437,94342005,102155093,88938199
2622199,2532157,2521863,2334564,2439298,2538693,2149230,2403717
913384,948687,809572,54014,44238,95058,277719,49275
213115,216065,219883,240594,243492,222392,269578,241860
4292282,4647440,4327382,4302715,3679286,3776007,4458187,3789226
56748145,56872124,60034326,55853435,56310003,53088842,54457316,55250114
1215362653,1199656907,1219389053,1217655180,1217753187,1253313415,1265321577,1234896403
211804,205053,232297,135795,175603,210083,182401,205535
8424419,8461726,8013977,8464816,9113288,8471800,8680967,7518291
1593753,2298673,2687153,3956684,1731632,5174358,1335476,1822465
315606,339447,346041,367159,363939,353486,309428,294548
751555,659521,740458,695795,799280,680963,693873,702949
1591960,1604165,1608505,1435425,1532912,1402029,1404677,1540434
131302817,122878924,113912811,104221762,92730470,89116418,93177388,92824555
43062,33684,36056,36799,29130,30385,36304,25552
928482,1132808,880664,184636,1128852,177090,221913,229090
1251500,1392974,1361877,1587672,1710540,1452803,1648913,1389140
1452484,1296898,1396721,1333845,1273739,1281102,1346295,1292793
1838982,1724526,1852201,1909951,1744517,1571870,1564254,1672054
191714,198911,158321,154557,153248,154255,177888,120765
191646,205386,245902,198222,132829,196404,200244,213255
919859,993311,878202,863981,852536,695891,955558,839436
25797530,27920776,28969434,28527252,29951203,30499468,30328171,30060132
1453085,906727,828902,929894,858556,907011,862321,868869
9555294,9653857,9760132,9111307,9124583,9920878,8180560,9148113
42464680,65896647,57864013,90801135,92912189,82518278,102999231,93999215
7405345,6587477,5585189,5729816,4810974,4275516,6600749,4379902
1720929,1897945,1881503,2067949,2241482,2040875,2167280,1969684
777102,639754,827049,854665,798604,667524,707493,845395
377208,380022,58585,71730,61722,42804,72338,57820
5363081,5094888,5269112,5035930,4681433,4938591,5104737,4997123
2365559,2397269,2425334,2500321,2364808,2580580,2320739,2273674
