QC-1,QC-2,QC-3,QC-4,QC-5,QC-6,QC-7,QC-8
10706136,9507139,8695712,8704060,8974382,8732343,9448954,9178914
923098,776402,657994,792461,771944,719326,624547,779294
1760800,1653133,1721841,1647240,1664153,1654868,1660213,1613153
8574074,8761046,8848491,8563694,8432274,8021296,8308361,8816378
273477,221900,131590,137735,149029,106699,90241,77806
691068,526193,441735,393416,372451,493252,102826,219066
1193648,391134,498218,1684009,671612,565590,566146,610641
235901,342499,308460,268621,269438,241129,266688,249278
301908,311661,309718,231669,273812,274697,259350,205004
450324,454872,400497,410916,460650,424929,464779,379609
2539722,1908633,2021112,2063238,1788610,653528,787719,708024
306823,251338,267981,298327,274309,299377,278494,278606
605825,743990,704951,140078,144971,98862,411483,62546
2252862,2028013,1901764,1782642,1878804,1507725,1548012,1931652
1687427,1815043,6420032,6291534,1471793,1465143,1295436,1464648
435879,1382444,1676348,2869163,2825985,2081161,2170576,3994320
2797954,2529189,2622306,3324880,2296327,817577,821648,941515
215916,220715,233835,99358,110919,224652,251825,118739
1078180,518067,342202,33456,46997,60078,46646,35481
410730,320917,358337,270425,305574,274173,290110,68869
588901,551631,587075,603215,653414,546424,509036,547773
217297,191709,178821,143789,158842,147981,147871,154347
141722,205475,191410,98031,103706,76224,101586,129918
579386,595328,590414,603551,565025,546488,535493,572860
197493,204646,184946,224805,146693,194985,127372,206741
299829,284820,73063,154044,130229,91047,146733,96757
1817396,1534180,1107645,998405,753760,716290,812791,842267
545086,227299,176612,134290,147316,149786,131371,150441
87144,227004,72549,42948,47799,36007,38136,42138
516382,572348,368846,30071,768169,568444,612299,652764
374919,345373,337169,303328,312223,289429,240489,175067
315987,526526,238029,24229,402426,324450,382129,388165
279507,205194,249113,187449,191239,189727,186199,175905
649429,676486,599807,584558,632317,506022,672536,630164
35374,29081,14840,14637,15382,19190,13759,10860
454333,98079,225239,272789,283515,226396,244170,264214
34149,43084,18210,46791,45883,33169,63036,49337
438456,443064,461202,441223,443117,441582,469467,400720
1017374,851995,995233,816277,944756,895134,960245,895280
520847,534671,593406,465624,455388,471445,472165,463413
237992,107369,261184,116903,115308,180183,324349,113849
236487,190716,241253,146699,266502,213746,187201,29781
366805,390576,343472,373375,317664,314546,398827,332377
923400,986948,943264,888284,906618,944582,923205,951617
94175,81629,34636,69195,26668,78218,77665,81412
209757,3299,9320,26658,25409,20243,25451,28947
298133,304432,290266,233458,251939,242500,242910,254365
85451,60404,37484,52312,32633,63503,38916,37902
592353,531446,596382,634370,552314,658569,769258,663502
152519,190672,39580,34093,47548,48933,39733,42661
79088,62965,54064,56731,87822,64789,80223,85235
532331,502525,517980,505823,451821,461194,455856,451287
479117,316249,301551,416184,374938,340419,396332,383834
889688,781998,299179,224736,90579,47689,35523,60652
170214,330485,86489,44648,115309,54203,158033,66698
505348,463171,463814,496708,431326,523059,478497,484232
2389218,2449471,2356029,2040768,2174308,2064784,1975928,2105969
1844831,1213887,1793532,1712944,1759937,1711578,1076000,1818004
958992,924395,951857,981557,799770,875725,921584,850785
410974,364816,356864,54416,45441,37221,65352,43984
190318,252446,242576,197079,125696,118727,112847,121086
111191,108106,83103,25498,26271,27750,27814,26607
258605,1012455,958189,274749,240345,144852,256359,252789
1015430,1075651,766989,162613,210782,86870,204391,124224
152215,116437,102833,150271,116583,90989,145905,108419
187677,281548,204230,175173,202812,219539,203541,178348
329647,263445,292885,237098,232112,279400,239960,287618
49066,31648,34333,49700,40844,33634,36805,33866
202372,199279,191906,162872,157653,202019,168277,196349
1642017,1625927,1434205,1457910,1456363,1449249,1457300,1435564
222365,74183,221754,35770,39459,210082,30155,51557
81497,84933,77646,85219,76654,78692,88961,87993
216825,73284,56246,89643,68024,99508,30634,98328
155527,129402,106043,106362,126253,114610,114427,116161
221066,141745,68269,43546,46539,37591,43883,34823
46732,66709,27086,39551,32441,32655,64398,43071
43031,47579,34454,39502,38141,36304,34157,35616
118596,93134,110270,102625,108093,108596,69325,91881
38644,40849,40088,36727,36681,36158,37639,35183
707569,285685,77949,168186,27032,314131,28148,271998
84351,48107,29560,31652,104320,61733,25538,76093
100694,241006,218216,298929,340172,349643,354354,313985
376374,464609,386658,404640,379358,384592,351925,415442
92231,94371,131615,116699,95675,123566,95791,98986
508937,319222,344166,459462,413914,124316,160750,157635
143656,144624,135772,165217,139628,126250,151534,172211
4039414,4185753,4984438,4288576,4461151,4237935,4187302,4967062
62349,55703,48895,50641,52539,41002,51910,40145
197344,250428,238869,283765,273161,242103,237711,252728
39096,24286,170133,28291,29762,29445,28973,22823
241704,245524,261584,149401,161373,169364,150243,106764
249183,231554,186251,27700,207133,196540,210287,177038
1836563,1666540,1447881,1417439,1436807,1497327,1456953,1449276
1656459,2066464,2335366,2245224,2091872,2080993,2118687,2205094
3367222,3454212,3227575,3187154,2658982,2806506,3019294,3197503
155994,155996,142984,153602,111235,140723,166372,166863
1015746,1147584,1083460,1072597,951207,917212,949848,1038354
684964,528194,535431,564673,440786,319761,445858,401677
1532154,1458779,1377055,1425331,1387513,1467645,1533213,1512523
53586,30872,32616,30263,31230,30359,42533,44403
114001,396151,468352,391241,499472,186336,483213,478687
323206,258811,244503,266586,231759,238600,223480,215549
24254,19548,18589,17531,27696,27343,20844,20433
13781678,12875185,12011624,13472833,12474971,8617624,7649254,8184524
220174,268726,181897,213776,178885,192202,172006,243379
15668727,16445350,17734635,13590918,16093757,16663300,15525486,16776020
33113844,31878049,34015106,35595956,34788713,34517028,34579005,35834774
143445621,127944805,120377258,108996362,87047543,63493900,56730756,52773749
26626985,31005844,29326893,21606744,29680722,28241381,32440916,27871982
11351210,12806442,11118663,9157931,12384557,12754294,12531387,14919782
129144,163065,170822,131070,127721,139086,88075,146141
8053182,7843690,8486104,8524226,8130833,8037242,8093031,8213885
232705,280279,202375,317155,266533,321981,164181,159049
444979,414318,389389,382344,399511,449210,253311,410093
8165732,9949745,8395976,7862911,7539526,7787269,8464643,6830920
4076876,3167644,4318923,1974113,2427506,2028918,2018454,2263546
47713,49099,48424,50772,48508,49205,48069,46758
460961,257741,788043,302227,579366,442059,712090,669440
165443949,172511286,171965649,169097155,172134467,170245145,171646253,172316953
2036078,1919762,1978496,2228808,2394022,1967052,2275602,2139019
7332173,6617492,7081625,6770635,6773093,6652366,6696930,6848508
986011,1124704,1213887,1356366,1412375,1446361,1412849,1380893
106331,115701,107909,105752,106826,102616,102612,102751
93685,91871,84757,86563,89823,83254,93321,74325
41704,43177,39376,36719,39115,37148,42847,39667
1548793,1572726,1652793,1635590,1555167,1637658,1634259,1567407
50220,21460,27504,13660,56488,8182,15952,47887
17158642,16859883,16333805,16438285,16713822,16624240,16507415,16066975
52455,111077,51657,68220,78724,76600,55509,79195
1690301,1973167,1730437,1598831,1460814,1510659,1413798,1362486
22344,22677,20549,20965,25750,24052,22437,19395
2240227,2056965,2629016,3758784,3061348,3570581,3392014,3913755
1533071,1344092,2019123,2029383,1994931,1316052,1992392,1670030
4833064,4967244,4926408,4125645,2992989,2792795,4245321,4448039
2422872,2590890,2872382,6043905,4354920,4513467,5162507,5813807
116237,339604,300479,432884,206019,184466,242947,201285
520829,645819,568021,704730,554150,661435,491460,486183
49475170,48368048,48058776,45852387,47107463,46201509,44273839,46007651
3603160,3584303,3674435,2088647,3665416,3601242,3766032,3778926
90458,87685,93984,97377,84087,103845,92850,89726
88085,87235,80508,61191,77019,69003,77448,48841
1780474,1856106,1451392,1603115,1660028,1746705,1653164,1373973
10978952,11472951,11989565,11300537,11461013,11962732,11933624,11764755
5584787,2090630,5716752,5895057,3787169,3164806,5640012,5966819
2931503,3209979,2470411,3166168,3253933,2878434,2736081,2893291
48491,84380,73351,76813,72787,83419,90059,61545
26371,26786,29199,39818,38280,31252,41453,34307
1542749,1277098,1597058,1264567,1245366,1202381,1257646,1587516
206728,191886,196357,233266,213129,263367,223830,217324
117973,119684,93130,112248,116800,109416,114919,97110
54044,110004,106137,77391,34457,117672,51760,35991
23847944,24482293,23314921,26588044,28142311,24769223,28701885,21997068
117613,136091,92664,165613,89442,139616,159481,99568
717224,664642,756183,691636,648314,646897,594379,682135
326273,316641,292168,220613,190843,214103,192335,154091
204925,153109,193795,186532,170851,155189,166854,159514
1226582,1250703,1998831,973092,937379,969979,1697782,1792001
3597446,3514158,3785899,3640734,3562542,2990668,3201211,3064741
780793,830957,783293,854248,662374,579823,744463,580516
849841,800853,954048,891205,996808,1833428,1089019,998944
2351362,2089296,2354004,1962815,612822,259840,569377,844804
134973,72970,126078,89687,69968,58564,94077,63492
34071,34041,33435,34161,34533,35111,35835,35495
6793748,6531919,6961843,6774193,6451786,6324918,6764777,6767463
212578,216298,43921,254808,71723,239265,81957,232143
53206,52486,55013,60587,51962,52279,53141,53118
57876,57879,57949,53589,51921,58472,52005,54989
36513629,26266721,29912819,31066925,22984660,13224989,12515324,11346362
195606,205141,202802,220175,228469,203890,228366,183995
1141399,918135,880017,1287590,1209600,2091671,1154412,1231539
68252,52313,86162,61624,67132,59116,54939,84955
77317,44583,63216,46650,51886,51033,50720,64602
5780766,6250320,6600722,6275754,6415910,6372680,6808764,6232353
26431,28379,23651,24984,25315,25243,24653,24891
569497,571113,645569,790024,1257095,640427,1271912,3699817
10482924,9551584,9326253,12085487,7247645,4076216,4196179,4516305
38097982,38544653,38429239,39797600,40754952,40833066,40850122,41978495
171974,1775425,3350622,3442778,2415572,2602444,2601878,2721267
57105,58859,59603,53185,58829,66941,61285,51366
71766075,71289153,71762358,70480802,72035873,71955414,69778153,70848882
76171,162919,195695,105672,51882,69082,88885,241462
9266,12658,10136,28669,23516,15192,41703,19333
67077993,85827529,47057585,11314231,49179568,83334220,83028343,83777660
9693051,10255654,9821451,8368227,6978750,6505851,6561411,6839089
1312525,1376461,1289186,1379594,1261282,1279321,1449161,1249794
1421997,2097660,1814448,1737000,1725669,1753864,1844858,1882897
2550647,1859991,2706784,1259676,3174185,1533783,3028584,2232949
1371862,1518205,1438156,1339794,1432646,1446392,1348589,1317453
1226018,1206314,1420588,1153312,1507818,1372988,1360204,1307530
163409745,185785530,89843306,165573143,157007655,148298533,80901875,137392108
1239324,1232804,1133720,1130452,1221324,1008801,1046387,1101705
57777,46636,174076,43352,85019,54325,79238,110648
280342,372260,317100,262671,260055,345106,362268,394026
4319598,4522529,4577098,4218813,4543062,4625056,4815458,4666194
2814170,2380416,2412171,2387250,2141212,1779737,1587861,1710041
446247,447715,404642,435857,442537,443584,446283,397791
996460,1065403,913018,960170,920445,938339,892255,1058016
272419,311430,283778,316006,282616,331728,346516,264348
185296,251187,225693,201051,195425,191727,210579,213765
36940,35713,32858,33371,47208,37282,51748,43486
423449,440539,445571,500254,501910,490830,445668,474340
90842995,92834079,89482098,86553530,88264234,87153913,86878739,88273966
1359909,1280182,1229773,1299448,1194537,85246,1147030,1077629
364115,491270,425289,258781,259501,317586,268644,295412
418046,408372,476549,473052,472159,484981,511207,366558
37458243,36502519,33653635,38963793,34540558,36825854,33843511,34414160
969632,1042054,1039224,961256,1011229,866608,850688,1048115
9438906,12234290,11330740,10390938,9311387,9966699,10073865,9662609
5097848,5031449,4312015,4959923,5172418,4951108,5111310,3707968
998279,921460,1001298,702375,683322,686743,658760,553248
72012,113766,78341,107620,38693,141001,93856,119552
268850,271586,207051,338975,342945,302216,347535,280271
5714614,5805061,5682635,5741278,5931511,5676717,5608129,5915470
541310,621063,392720,588848,419155,493725,615473,623308
170803,934390,318709,572414,168158,244320,653716,596583
65774,50267,39270,36607,65018,65039,49842,65247
1044692,942566,931198,969896,937699,955800,921862,971615
677562,691146,812210,771218,734630,749337,683612,743406
198016,190550,241169,214017,224840,181821,207314,239936
621537,552365,561609,640582,649536,656094,675914,624030
3292829,3707190,3504509,2453883,2757847,2346352,2407075,2153752
5131359,3614927,3218753,3645821,4848477,6199751,6896322,6466755
363532,413948,398110,394697,365577,343004,326903,386378
207722,186025,123449,98375,101572,98231,60091,30643
252364,409983,398790,530635,572965,538491,542013,668115
296628,293509,170985,149809,369495,282858,163460,324960
1766620,1001440,436997,576916,142758,103623,478423,635180
362302,343542,310326,306914,336862,312218,320227,263687
12788435,12157830,12659943,11098077,8835680,7580228,5957406,6146655
52363,51685,53315,67630,55322,62944,59391,63229
54041,54044,54109,50038,48481,54265,48559,51346
192186,232160,198330,212513,186426,201978,650485,184002
125645,102884,131764,135155,63501,79437,93884,212709
792263,862175,842985,1088438,910435,1506515,1013148,710694
273496,255448,293967,362346,279507,262706,296696,253944
1416068,1485506,1578998,1547546,1543394,1477689,1483957,1495554
100545,78679,72873,62328,79335,99332,105192,64376
16861,17659,22445,21567,22671,20219,20455,20772
13893663,15183935,15680699,12000780,14482333,12782911,11281200,13717407
976935,547997,1076913,1208460,1183738,1133284,1118249,1218393
24696377,23725908,22055387,20600007,17929316,12107616,10744592,10386953
67862,73106,65052,65273,48593,115782,56465,90256
174476,250042,190201,180653,184284,160360,166204,169198
1409180,1441013,1286576,1414679,1319877,1346555,1329578,1341064
293282,324266,271883,214227,309247,301197,143413,283886
121465,66650,44913,46716,42268,41380,42939,43499
26626985,31005844,29326893,21606744,29680722,28241381,32440916,27871982
104417,100062,86162,94451,103138,77324,93348,104994
25091,17749,26317,23042,28017,22267,22463,20505
435775,400726,441658,396827,416517,376036,474769,451567
381932,535616,335679,343739,431630,306842,554898,608263
156674,152154,148792,160117,148241,161662,151260,151833
40053,40726,43824,40563,37300,39423,87863,42708
2161674,2547049,8220462,9782497,5398982,201445,2428955,763975
157931,149405,126949,170365,157798,135280,171848,127431
57380114,57087078,57955441,58501364,58022845,59085986,57704241,58789692
9935348,9810866,9840794,9527128,9655149,9702798,9728653,9947039
7535994,10344430,8916623,9319107,9565413,9826539,9192225,8730104
126763,362073,61947,75485,57015,91264,51696,57049
262671,2637,39611,212819,221605,189201,299690,229553
350115,321115,324250,317165,306926,332998,321321,331451
2532088,2298172,2095241,2539247,4475825,3642034,3646276,2499068
1046396,354315,779601,660516,548293,484473,494995,488616
1093759,994143,855221,574444,602447,573826,634042,558810
514558,478382,676397,359866,367368,436025,544747,302591
629221,592753,646791,651829,666201,635783,730277,619164
3923940,4111426,2220826,3290310,3514695,2643588,3500549,3180026
128948,125828,93065,127107,97100,108116,99188,101346
84229,103231,88126,73728,69363,77988,87285,60573
1135218,1146460,1123360,1165166,1256848,1161139,1192818,1227429
278340,231542,257399,229642,253389,271259,256107,261804
43197,44635,222332,225769,193522,141979,69892,228352
768376,1379006,447222,517800,26770,444806,23399,413684
2651676,2867681,2373483,1973328,1958916,1873667,1959307,2062636
277123,227177,270111,322031,338766,240905,297527,278203
391128,376582,336757,401374,292284,428400,357623,348088
41325,39020,40059,39704,37105,38209,40071,39844
78986,66071,66147,62723,62100,66274,58120,67927
39372,35949,34463,30736,33910,31151,28457,32623
17783,18939,18583,21053,20386,18656,22347,20009
96877,103032,109432,109231,82947,105910,94296,100675
37575,36400,29608,33144,31809,32128,37421,38306
374275,348060,306935,328276,287147,275989,263581,264999
633386,761236,514559,1583106,3808213,3019079,2937327,3011535
396795,391277,397712,363632,299160,378419,364843,381314
1542749,1277098,1597058,1264567,1245366,1202381,1257646,1587516
5197672,5302858,5306045,5633882,5154441,5177199,5034805,5318199
96005,70718,85339,93359,73722,88522,87135,62762
449497,506001,431765,411850,419529,531481,384272,403662
25145222,19927286,19316517,17718817,10873126,8823969,9913494,10727298
808211,745729,728961,686214,730179,698504,689949,738776
264974,286709,255070,242297,291342,263220,279203,255779
684714,692171,665835,539958,607212,650769,577473,589044
13502842,14289685,13941806,14063201,14810219,13763281,13526106,14480940
310465,119637,263030,141496,168078,113810,131418,149194
498643,446506,248973,449782,453431,443927,381351,339909
36192,54167,42886,58292,67043,54740,59017,55823
267766,312244,367040,322893,311014,258613,369816,304032
969632,1042054,1039224,961256,1011229,866608,850688,1048115
315199,213670,287398,210438,260938,244648,281327,196918
450460,439220,504245,420013,623282,494759,474624,476545
1037039,763847,689436,665487,625007,312792,337369,349948
558224,1436677,1579934,1586653,1477632,1435931,457009,1234729
525747,211773,382237,341895,351577,145645,286075,422876
22564734,23243264,8470392,6222960,6246784,5689222,5363330,5625150
1586089,1714893,5926076,1652474,18411446,1812169,1613145,17530843
158174,366035,204789,249374,157047,150501,126289,102703
334906,359695,199084,301891,294481,242681,317324,310912
814412,456123,537532,553861,178680,166906,193824,254370
49746,58903,89605,50021,56662,76596,60731,55481
73386,86512,80352,81553,61563,70092,80728,80304
1071316,1295403,1044577,863757,447443,288877,213364,982429
263288,238646,251053,262685,250893,241872,278616,275939
1285567,1365403,1327230,1122184,757654,1075508,762783,663255
1646476,1486319,1158430,1131790,1448189,1390424,1429334,1328031
248805,395974,276919,266123,382538,556599,304985,381198
100984,59281,57068,101270,58298,64662,59113,57319
1748376,1694880,1830875,1805365,1781958,1825497,1768658,1745987
124445,140806,124514,114809,112084,138476,98105,91568
2276429,1709619,2044892,3006113,2101593,769248,1091653,772956
110535,89036,88248,140978,90659,90291,97948,92836
72579,54134,48083,76654,69178,103262,75936,85433
571576,425082,91354,596281,489716,802280,897862,482221
19218567,15668738,15433736,12500599,11680635,8155662,7183112,7298105
2533,2553,2584,2610,2580,2608,2580,2574
17172,18829,10025,19016,19642,7964,15177,5369
6645672,7521499,6924061,4182988,5421046,5453513,5427092,5651726
54944,29626,63149,32886,53835,57344,33005,32208
92378,80771,92776,99776,88099,80426,83863,75447
5301498,5364325,4987557,4542418,4234526,4074694,3981538,4585014
7595727,9531224,2294360,6431563,8441949,7821897,5015477,7182118
12215436,12466810,12507684,12937320,12607865,13585272,12105679,12433240
41942866,38993317,35002066,35090394,30099501,22231682,21264652,22115408
2836421,2349253,2313376,2650365,2225814,2023675,1793898,1977482
52046,55100,60886,60833,59859,19547,53330,55747
5999880,2575149,6504685,3310942,5293972,2919703,3828962,5133371
1881008,1761355,2023137,1624090,1910102,1449727,1758456,1940891
536608,979684,1255134,37428,963593,1060216,932439,1153981
86574,109336,97186,57381,94740,68872,82284,76156
268264,403952,356313,252817,151868,111181,305733,331496
49924,49745,49474,60715,62919,51715,103273,48748
318042,333224,258567,345500,320909,285640,344489,270400
34345,35173,36074,36211,34998,35943,37664,37227
1099757,1349759,1314908,1037300,848013,928280,1159803,989727
44000,45077,36905,37563,41040,34082,39496,39363
169492,166057,143498,168336,165317,132807,161111,141270
466007,440982,203881,35558,109741,157008,104706,137719
71497,92877,84253,22798,17985,39250,70447,64453
18596669,17860950,19635687,16177317,17833743,15151437,17480227,14515890
65420,58932,57580,55918,67408,55205,52815,55759
159303,77917,96814,32429,173664,31541,118713,28812
45761,48787,46573,47690,47989,48163,45000,45026
193605,171521,276213,631583,24394,508564,23084,498410
374919,345373,337169,303328,312223,289429,240489,175067
547572,83612,25154,40240,298050,1137324,69971,252893
721389,938718,987146,895900,935377,913005,898598,1052609
354684,231487,340137,325891,356172,305687,372327,297834
5777930,8137668,8103229,7920047,7931261,7916719,8616811,8608882
174164,189592,93012,130052,103194,113878,149532,140788
467403,410335,540600,690688,787843,647584,755327,640772
454617,398730,416110,383107,364317,361054,408890,370886
505077,632142,552520,605497,609527,556044,565415,593750
257001,460365,474731,471101,424494,426826,470492,462364
973497,890838,577664,80458,179485,1009155,203698,327490
601591,616598,651383,1025977,462667,444663,433587,532899
2685932,3427287,2732708,2528065,2640566,206812,1887775,2547921
149329,125033,143115,138219,136377,144409,133418,146969
728333,699687,672145,624371,616412,555773,510935,601896
623791,541436,622183,589276,464155,487129,442871,427996
83533189,84021267,85863335,81537691,79945752,82008326,85410352,87167817
8567925,9078965,8689023,8967177,8944784,8880281,8914017,8959459
52175,60541,58628,56321,57620,56083,54857,56656
10268826,10193065,10709612,10188175,10104711,10472942,10957534,9798670
1937686,2064005,1788741,2359594,2249171,1938579,1899679,1856930
2481434,2605573,2677443,2621665,2438914,2393687,2617827,1223399
108923,114997,147896,92462,83918,188007,96927,120666
3958461,3945646,4011771,3929580,3780299,3951718,3672114,3948146
54260,40801,38258,38502,36359,47699,48343,38648
173915,179938,167845,190090,143837,168265,199487,174523
493378,372712,200624,88207,180069,106876,78318,77184
258174,268165,36576,266522,288707,203517,332529,245810
589342,547468,543675,565248,553579,429447,688341,482518
136914,351561,326778,395983,323397,363761,331560,341619
52834,51953,72559,68140,70751,58105,83400,59466
1510649,1705604,1640855,1586517,1789588,1771766,1607494,1872364
55797,92560,60656,58167,67117,62827,67445,60417
60966,184736,157854,162367,158194,69405,531378,369405
1101594,1128391,1046518,619415,1203075,1148050,1114408,555352
45450,1275068,1212795,1089207,1527197,1357859,1177347,1332707
22935128,23830382,23004174,23667863,22663771,23912652,21281559,23213618
774267,746507,768072,742097,752981,734559,723194,719650
230843,245200,318656,257781,246900,238052,251929,264130
369651,402277,378398,368044,365612,395182,327542,383056
893462,1100324,1076553,1071893,1243290,1097169,1180290,1054282
2363415,1183697,230904,73584,25715,35165,52007,307953
73368,210771,295562,320406,344876,247752,360094,283824
1016409,1126030,1127253,1246348,1013928,1084206,1120500,1016716
536411,626928,526114,483363,175330,529761,478405,240881
2347928,2296566,2362367,2265942,2095999,2252871,2200210,2186824
117399,149677,120176,26986,232943,263777,27872,30798
51120,47883,56649,54762,53700,48407,47427,50087
148826,135201,114672,150167,138614,122848,130662,146895
44628,64577,98884,45380,34870,38508,43287,70565
62938677,66671102,63964176,64940295,62734499,62817032,62225021,65630389
28947,51681,19274,37267,20025,12364,16476,10406
912520,901238,926463,977367,888091,897185,884412,967360
584468,528533,576273,602532,587823,539187,569760,579654
106334,103413,106526,116733,126253,137401,121776,141543
311945,324256,339258,355275,333991,342432,320199,245269
2152825,1660337,1536062,1127180,1075670,1034218,1040648,1026039
502613,541923,496662,471805,561135,532727,481295,485858
4618856,4207999,4368363,4359217,4258085,4312748,4178061,4239487
23275,23860,17293,15937,13906,14986,14385,9529
850431,858685,830992,923154,855248,888547,908021,667123
5180267,5343463,5263995,5708890,5507776,5897144,5899781,4355157
1308058,1176493,1183963,1096241,1050489,1032548,1151468,1180704
506408,370581,784635,590041,549237,559057,387752,416126
38455,37502,39453,33634,36293,39315,54570,29032
11564,10467,8713,15042,13439,10706,16232,16101
1251865,248492,252482,239753,264821,227031,234104,211496
9848087,10835858,19330188,14838395,17696154,23528746,9277067,11490570
69455814,34633247,11328924,85286290,34247561,7762999,28286291,6701827
10667681,9888004,9469077,7917094,8139103,5398222,5068159,4700291
90842995,92834079,89482098,86553530,88264234,87153913,86878739,88273966
3259377,3452130,3634283,3668280,3473064,3610076,3606735,3595767
300350479,398049476,493208739,73271423,206047056,874058000,610370596,584817606
2359575,2089506,1756783,1738062,1725015,1860819,1623188,1355241
5220047,5188390,4417266,3710756,3428166,3247271,3162442,4127773
5898712,6326782,4986883,5058411,2451405,4725792,5419740,3959583
5402816,119223417,49486815,56679374,34699024,36106330,33990473,31526790
1280001,3400586,21461314,19493333,389022,2173919,23096621,21476904
5256647,8419316,10268116,8930952,7609110,7767518,7234650,8359711
57826,53685,71940,54294,55388,61066,53454,61055
207029,92324,105025,56036,171445,74442,67942,60340
1186516,1033303,837092,24010,28954,22965,22014,31822
17860989,18893555,16595179,14036662,13097285,12705622,14341810,16470837
1642280,1933347,2576328,550894,846058,2952683,891133,535869
7774926,107262965,1755440,23971155,192159725,136959525,144030839,145092409
2408398,1810571,14960267,3337233,3407128,2024209,2877692,2987417
4892267,33343856,14075848,4159343,5168408,12151211,11894648,10943427
2450130,1836939,2570332,1201775,1799677,1645848,1641484,1782576
770153,707105,667277,302563,386531,1270243,4393777,5561384
204732,225379,173660,157592,136336,138786,132964,107247
163409745,185785530,89843306,165573143,157007655,148298533,83042667,137392108
135127,158501,137602,149217,118695,113584,114825,138238
1686621,1505926,1423836,1442837,1212982,1164047,1228599,1137762
305413,1722538,261283,5638936,12776447,5910703,5180719,5627216
37991896,35109314,38562932,21291212,25126315,24870913,24150128,23655941
135605479,131946031,245298964,106632405,97107160,196805247,175006601,230827271
155893002,104370672,114656304,107170398,33479173,87582814,139526018,382373815
908489,970332,1143129,1204513,997211,940520,987554,973975
408780,386268,374828,419777,412451,408817,414507,316897
970312,982622,1024507,1116597,1144927,1068798,1118825,826451
4910530,4916016,5012385,5781791,5096668,5286078,5057970,5334219
18001,21476,17119,20355,22234,20919,24495,17273
934126,908451,870873,844562,865483,797398,867269,872143
61696,47176,44352,67406,45205,43063,43463,56018
113009,129995,109127,113097,116814,96226,116342,111284
128992,71522,38014,68135,84521,49887,71185,46086
53891,44225,48958,63674,53088,81109,63613,44433
86051,89850,71080,85377,86060,85164,94504,83722
64904,49097,54844,51741,48338,58206,48802,49793
149190,146644,133481,129484,129910,141272,129009,145290
43116,32880,34409,33438,37671,35552,37693,34847
124842,138604,116352,112930,125339,95437,112613,99867
168137,243309,115686,140189,151512,106108,111064,107414
16705962,13671804,5499877,10868194,4537714,8512721,4574141,4871952
18430335,16580872,14210486,15168293,11473264,10291339,9610261,9551754
2014400,6808551,4805699,4882687,2293953,1997881,4343384,4246279
5726315,7850621,9060421,388270,416928,745691,802603,398281
449842,465319,34065,88252,520227,85221,571813,669944
4842322,14604829,9258744,2379579,2807789,19123149,35144723,28827888
74518509,65645500,71439874,66424203,56448001,42723915,44823091,39707606
429677536,610007468,198328043,185170690,561862605,2116521100,1934298990,1844522036
1795459,3146429,14749145,2609234,5562915,1846202,343648,8484077
5253446,425586,251541,892923,4405764,251546,261805,16592983
5250854,11834565,5136881,9110361,9289124,35103887,30434030,31651030
16245033,1807182,1979715,4033889,1254763,2501187,14845552,15945048
391983,247731,268092,272780,267238,144304,257308,182115
142696949,130264267,126505800,119236161,98113823,79928284,74035630,77989487
31889200,113458164,86494554,88916837,33281824,64367688,67813638,77393687
6332486,11082340,11002876,18243562,4171342,4427976,6215689,4733996
350646,375088,347954,309323,355268,344164,281270,360643
421072,341316,294939,566441,741394,453032,589995,552488
1347300,1311688,1535013,1542230,1356333,534091,447187,418815
284012,251785,265466,256235,249837,250569,266021,269667
37005,50855,37619,32696,53513,41017,37705,34371
9844194,10235682,9860775,9732085,9797346,9896299,9811207,9880933
385198,380336,360296,386580,435327,415581,414721,342258
6556,10345,10042,12971,13727,14329,14221,8877
104961,137518,130059,87716,113680,124213,148606,138445
86870,91053,81436,81747,88694,84266,86329,85086
11311,18604,13061,13076,12838,14870,15087,11314
654747,627660,572303,557661,677169,603044,679475,543281
239990,252989,245793,609215,531823,550757,652973,703044
897835,994038,945461,1002701,1116245,969238,1119994,871280
11644261,10781895,10813920,10352706,8109222,7392958,6796002,7174516
473884,497953,488421,511366,513671,541391,466016,460072
118800,128484,121942,103878,112943,105920,116373,112200
2323404,2065371,2811805,2813622,2866874,2935791,2988238,2991078
8816223,9834889,10208750,8286039,7851958,7509545,7590857,9893252
250956,326655,291547,380601,317131,367533,291040,380845
6833053,6586315,10169417,5707381,4609649,7646859,6626053,3135714
89467471,36428594,8676909,12683054,2958644,2625259,12853262,4337174
293413,197403,221965,257544,288397,238965,816063,232886
23213,18519,23021,24134,24918,28261,20140,12949
42671,40836,73464,42518,40362,40144,81304,40838
180859,119412,184815,131183,123465,121033,209250,236314
62936,62195,60411,61358,55265,60133,58942,54909
3930,3497,4776,4095,4483,3278,3829,4598
75412,116725,137769,154051,162981,343725,96792,135360
226603,198241,187263,192867,188248,209590,206211,171490
1553370,1759970,889336,5087271,4364249,1570551,1968502,2301190
33670,20163,29480,18247,14986,37316,28646,36837
33350,32114,34443,28365,35570,37357,34206,35754
115185,96127,98138,94808,97880,97482,92764,100230
173526,193795,191374,196339,233295,160108,197393,203339
518353,438622,80999,116930,29624,98090,28034,88258
42946,46605,43069,50087,47225,46448,46562,47411
1095624,956684,1035669,1033797,1073090,1083837,1120760,1082170
744309,768654,742451,718994,682072,832583,694228,772728
